ID;contour;profile;global_id;with_interval;polygon
1001928-public_transport-20-1;20;public_transport;1001928;1;{"type":"Polygon","coordinates":[[[37.62655372608587,55.74930981847853],[37.627533,55.749065],[37.62895996091077,55.747612393470966],[37.629097,55.747543],[37.629188732790155,55.74737951005899],[37.630482,55.746063],[37.62804,55.743908],[37.62684891719488,55.743875476873434],[37.625774,55.743492],[37.625416,55.742783],[37.624413,55.742901],[37.622578,55.74403],[37.620705,55.744156],[37.61887,55.744858],[37.619083,55.746864],[37.620716,55.747551],[37.62141,55.748486],[37.622726,55.748539],[37.62309729528293,55.74909097908372],[37.622952,55.749454],[37.622086,55.748947],[37.620953,55.749077],[37.621788,55.75108],[37.620940120322544,55.75216532935695],[37.620903,55.752182],[37.62088803012502,55.752232007474234],[37.620224,55.753082],[37.620953,55.754368],[37.62156947154791,55.75445034012171],[37.62254,55.755417],[37.62390310518753,55.755468999938635],[37.624332,55.755817],[37.625079370005245,55.7558259871333],[37.624149,55.757015],[37.622421,55.756966],[37.62159347993395,55.758087490418156],[37.619617,55.759117],[37.620358,55.76012],[37.62001,55.761139],[37.622009,55.761963],[37.623009,55.762852],[37.625008,55.762959],[37.626011,55.763477],[37.62709,55.763039],[37.629005,55.763752],[37.629265,55.763374],[37.63121735611406,55.76071362864525],[37.6314479910968,55.760733569605556],[37.631779,55.760853],[37.63187820811954,55.76077076665376],[37.631985,55.76078],[37.632679,55.760139],[37.634394613728766,55.76007156415057],[37.634724,55.760941],[37.636269,55.760818],[37.637455,55.761581],[37.640525684098954,55.76151274514139],[37.64124920526571,55.76164558604289],[37.642456,55.762745],[37.644779,55.762897],[37.645782,55.7621],[37.64615249121138,55.76218223639717],[37.646679,55.763676],[37.648167,55.763908],[37.64893482106357,55.76352985389061],[37.64967126043422,55.764044846457494],[37.650204,55.765209],[37.65154172020471,55.76564014250826],[37.651554,55.765652],[37.651852,55.766655],[37.652966,55.766727],[37.660175,55.765652],[37.658886,55.762653],[37.65769925986373,55.761427516464],[37.657436,55.760376],[37.65651878155281,55.76067195092468],[37.655754,55.759789],[37.65479929722514,55.75969275980092],[37.653168,55.758102],[37.652774394561206,55.758016587619785],[37.652763,55.758007],[37.65275110437151,55.75801153364862],[37.652168,55.757885],[37.65165534086586,55.75815338911628],[37.650887,55.757496],[37.64865725379892,55.75739730474486],[37.64870955970852,55.75724116964814],[37.649548,55.75639],[37.648888,55.755695],[37.644051,55.75639],[37.64388077122741,55.756481205391694],[37.6423,55.755581],[37.64160968938125,55.755887342664145],[37.641118359126956,55.75556872958383],[37.642296,55.75526],[37.643928534606204,55.75397729423798],[37.644054,55.753986],[37.646851,55.752602],[37.646897889438236,55.75187494627708],[37.647255,55.751488],[37.648945,55.751183],[37.64964480243625,55.75065519201812],[37.651581,55.750225],[37.654045,55.747093],[37.652149,55.746399],[37.651451,55.745682],[37.650452,55.745613],[37.649448,55.744633],[37.648453,55.744419],[37.647678,55.745323],[37.646584,55.745228],[37.643425,55.746067],[37.644108,55.747089],[37.64373013393307,55.74730442973939],[37.64285248712851,55.747143814637894],[37.641922,55.746788],[37.64059795135135,55.747185],[37.639244,55.747185],[37.638592,55.747787],[37.639252,55.74979],[37.63832467177019,55.75020041105059],[37.637798,55.749748],[37.637442880461094,55.7499260162213],[37.63739,55.749886],[37.63634115415905,55.751244637393974],[37.63506754830905,55.75128368490857],[37.632469,55.749588],[37.631447,55.750134],[37.62969028214492,55.75000801316393],[37.629288,55.74987],[37.62899898772362,55.74991532929388],[37.62655372608587,55.74930981847853]],[[37.62881469579561,55.755287250682485],[37.62917812784059,55.75463833719827],[37.62924952327762,55.75457508898829],[37.62959632387875,55.75449231265138],[37.629535047427424,55.755387021788856],[37.62915190585691,55.75538744550085],[37.628868,55.755276],[37.62881469579561,55.755287250682485]]]}
1001928-public_transport-30-1;30;public_transport;1001928;1;{"type":"Polygon","coordinates":[[[37.62593874574426,55.72348559983108],[37.626087,55.723312],[37.622547,55.721237],[37.621548,55.721428],[37.620934,55.722706],[37.620071,55.722786],[37.619545,55.722401],[37.617966,55.723312],[37.619946,55.723915],[37.620606873718145,55.7256156273629],[37.620178,55.725925],[37.619606,55.727016],[37.618057,55.727467],[37.617607,55.729584],[37.617685523326585,55.729623844376306],[37.617321,55.730438],[37.618893,55.731323],[37.619781,55.73312],[37.62050897104062,55.73299202021403],[37.620724,55.733257],[37.619015,55.734127],[37.618656,55.735268],[37.620009935541276,55.735875181343495],[37.619347,55.736317],[37.619995,55.737465],[37.621136,55.737934],[37.622135,55.738007],[37.623135,55.737095],[37.623135,55.73820990326481],[37.61948,55.738331],[37.618294,55.740063],[37.619511957645145,55.74148265053972],[37.619244,55.741611],[37.62010456132838,55.742960900122945],[37.619133,55.743523],[37.61978249874383,55.74442284995825],[37.619476,55.744492],[37.618477,55.744076],[37.617451,55.744251],[37.6175869334332,55.74597565543379],[37.614628,55.747223],[37.616676,55.748844],[37.621462018813055,55.74901859537008],[37.620953,55.749077],[37.621788,55.75108],[37.620940120322544,55.75216532935695],[37.620903,55.752182],[37.62088803012502,55.752232007474234],[37.620224,55.753082],[37.620953,55.754368],[37.62156947154791,55.75445034012171],[37.62254,55.755417],[37.62390310518753,55.755468999938635],[37.624332,55.755817],[37.625079370005245,55.7558259871333],[37.624149,55.757015],[37.622421,55.756966],[37.62159347993395,55.758087490418156],[37.619617,55.759117],[37.620358,55.76012],[37.62001,55.761139],[37.622009,55.761963],[37.623009,55.762852],[37.625008,55.762959],[37.626011,55.763477],[37.62709,55.763039],[37.629005,55.763752],[37.629265,55.763374],[37.63121735611406,55.76071362864525],[37.6314479910968,55.760733569605556],[37.631779,55.760853],[37.63187820811954,55.76077076665376],[37.631985,55.76078],[37.632679,55.760139],[37.634394613728766,55.76007156415057],[37.634724,55.760941],[37.636269,55.760818],[37.637455,55.761581],[37.64052568409895,55.76151274514139],[37.64124920526571,55.76164558604289],[37.642456,55.762745],[37.644779,55.762897],[37.645782,55.7621],[37.64615249121138,55.76218223639717],[37.646679,55.763676],[37.648167,55.763908],[37.64893482106357,55.76352985389062],[37.64967126043422,55.7640448464575],[37.650204,55.765209],[37.65154172020471,55.76564014250826],[37.651554,55.765652],[37.651852,55.766655],[37.652966,55.766727],[37.65322748962336,55.766688006887904],[37.655041,55.767181],[37.655733997202695,55.767079484021814],[37.656727,55.768204],[37.657760191270654,55.7684518146727],[37.657841,55.768581],[37.659874,55.769112],[37.660282723962396,55.76829921432573],[37.66081009129501,55.76786053787521],[37.66127774471619,55.76762623622885],[37.662715074440634,55.767706933277864],[37.662876,55.767868],[37.662863724284755,55.76900804033738],[37.662228,55.769283],[37.66231890548848,55.76982952161942],[37.662308,55.76984],[37.66232213002352,55.769848907446814],[37.662395,55.770287],[37.663342452874346,55.77049211030566],[37.663815,55.77079],[37.6641017053276,55.770656477850444],[37.665901,55.771046],[37.666664,55.77253],[37.667454,55.772072],[37.667755542404635,55.77210311337457],[37.668346,55.772503],[37.668553369297676,55.77246847297741],[37.669342,55.77298],[37.669949,55.773209],[37.67093137003851,55.77272341480995],[37.671848,55.773403],[37.671917,55.775257],[37.675774,55.77507],[37.676785,55.775406],[37.680771,55.774014],[37.681107,55.773399],[37.680317,55.771404],[37.677776,55.76984],[37.67709675363918,55.76999986235106],[37.675777,55.769196],[37.67490665841391,55.76886754230694],[37.674961,55.768349],[37.674347,55.767059],[37.672348,55.766354],[37.671349,55.766861],[37.67012679104478,55.76628141791045],[37.669666,55.76585],[37.669591647123106,55.765888669783756],[37.66842920696133,55.764846659303934],[37.668427,55.764839],[37.66841831037999,55.76483689161668],[37.668144,55.764591],[37.666737,55.76405],[37.666271819319576,55.7643160833492],[37.66620059709376,55.76429880252995],[37.665138,55.763279],[37.663876,55.76326],[37.662876,55.764088],[37.661877,55.763752],[37.660603712574776,55.763975127252245],[37.6603772999321,55.76397172936366],[37.65955,55.763645],[37.659355,55.761173],[37.658035,55.760353],[37.657570828558036,55.76091453423223],[37.657436,55.760376],[37.65651878155281,55.76067195092468],[37.655754,55.759789],[37.65479929722514,55.75969275980092],[37.653168,55.758102],[37.652774394561206,55.758016587619785],[37.652763,55.758007],[37.65275110437151,55.75801153364862],[37.652168,55.757885],[37.65165534086586,55.75815338911628],[37.650887,55.757496],[37.64865725379892,55.75739730474486],[37.64870955970852,55.75724116964814],[37.649548,55.75639],[37.648888,55.755695],[37.644051,55.75639],[37.64388077122741,55.756481205391694],[37.6423,55.755581],[37.64160968938125,55.755887342664145],[37.641118359126956,55.75556872958383],[37.642296,55.75526],[37.643928534606204,55.75397729423798],[37.644054,55.753986],[37.646851,55.752602],[37.646897889438236,55.75187494627708],[37.647255,55.751488],[37.648945,55.751183],[37.64964480243625,55.75065519201812],[37.651581,55.750225],[37.65202852502659,55.749656149195104],[37.653004,55.750072],[37.6535765687017,55.74941939481312],[37.65430990615825,55.7496069563573],[37.655941,55.750793],[37.659031,55.750313],[37.659102711006454,55.75029053334322],[37.659233,55.750389],[37.662304,55.750343],[37.662529,55.749569],[37.662888715162886,55.7494672002673],[37.662975,55.749516],[37.66300739069165,55.74943361497995],[37.663582,55.749271],[37.66420832125833,55.74854615303096],[37.665833,55.7477],[37.667854,55.748749],[37.670029,55.74773],[37.670799,55.746731],[37.668827,55.744209],[37.66283,55.744747],[37.6622634039521,55.74566330963507],[37.660645,55.744354],[37.66040753288366,55.744306167942696],[37.660236,55.74403],[37.659028481218606,55.74402839104759],[37.658962,55.744015],[37.658945119053065,55.74402827997209],[37.65736751834093,55.74402617790585],[37.656087114046606,55.74369371649378],[37.655941,55.743546],[37.65565699352678,55.74358203421029],[37.655472,55.743534],[37.65287994668786,55.74481715359412],[37.65205,55.744228],[37.651173,55.744293],[37.649604304887376,55.74478556851557],[37.649448,55.744633],[37.648453,55.744419],[37.647678,55.745323],[37.646584,55.745228],[37.643425,55.746067],[37.644108,55.747089],[37.64373013393306,55.74730442973939],[37.64285248712851,55.747143814637894],[37.641922,55.746788],[37.64059795135135,55.747185],[37.639244,55.747185],[37.638592,55.747787],[37.639252,55.74979],[37.63832467177019,55.75020041105059],[37.637798,55.749748],[37.637442880461094,55.7499260162213],[37.63739,55.749886],[37.63634115415905,55.751244637393974],[37.63506754830905,55.75128368490857],[37.632469,55.749588],[37.631447,55.750134],[37.62969028214492,55.75000801316393],[37.629288,55.74987],[37.62899898772362,55.74991532929388],[37.62668267389016,55.74934174933162],[37.629089,55.749493],[37.629814,55.749001],[37.634811,55.748943],[37.635815,55.747887],[37.63681,55.747742],[37.637016,55.746418],[37.637928,55.746094],[37.635811,55.746433],[37.635208,55.745823],[37.632809,55.745266],[37.63254771351485,55.745280635795936],[37.632603,55.745209],[37.631908,55.744205],[37.632298,55.743206],[37.62947925807808,55.7414112920992],[37.630054,55.741062],[37.62689427412297,55.738112053160194],[37.626896,55.738079],[37.628071,55.73732],[37.62690341103057,55.736792617117175],[37.627148,55.736538],[37.628151,55.736729],[37.628941,55.736263],[37.629707,55.734264],[37.62938124097367,55.73382483830187],[37.630882,55.732021],[37.631073,55.731018],[37.62881795039401,55.72919738442553],[37.628979,55.728905],[37.630714,55.728188],[37.631496,55.727188],[37.630585,55.725857],[37.629261,55.72599],[37.628056,55.725391],[37.627262,55.723129],[37.62593874574426,55.72348559983108]],[[37.622430979011845,55.74896384242984],[37.622475,55.748974],[37.622528222887496,55.74893818200492],[37.62292422426374,55.7488336863386],[37.62309729528293,55.74909097908372],[37.622952,55.749454],[37.62221301164415,55.74902135901107],[37.622430979011845,55.74896384242984]],[[37.653972636340036,55.7462594596366],[37.6536683669282,55.746289193744204],[37.65256376557923,55.74615628236238],[37.65249053828371,55.74587297093261],[37.653449025328335,55.74552479282068],[37.65351245369186,55.74554592046326],[37.65403054458522,55.74607870897061],[37.6540437755562,55.746136942097664],[37.653972636340036,55.7462594596366]],[[37.62881469579561,55.755287250682485],[37.62917812784059,55.75463833719827],[37.62924952327762,55.75457508898829],[37.62959632387875,55.75449231265138],[37.629535047427424,55.755387021788856],[37.62915190585691,55.75538744550085],[37.628868,55.755276],[37.62881469579561,55.755287250682485]]]}
1001928-public_transport-10-1;10;public_transport;1001928;1;{"type":"Polygon","coordinates":[[[37.6314479910968,55.760733569605556],[37.631779,55.760853],[37.63187820811954,55.76077076665376],[37.631985,55.76078],[37.632679,55.760139],[37.635681,55.760021],[37.639366,55.758472],[37.63934590605848,55.75842557606614],[37.639538,55.758369],[37.638718,55.756432],[37.63747,55.755676],[37.63678,55.754482],[37.635063,55.754089],[37.632786,55.754223],[37.630779,55.754814],[37.630712158089736,55.75486886523165],[37.630676,55.754875],[37.630205579999995,55.755284675075075],[37.62978,55.755634],[37.628868,55.755276],[37.62829421513208,55.75539710623237],[37.627628,55.75547],[37.62761994241267,55.75618658809998],[37.62737027035218,55.75683320106323],[37.626713,55.756691],[37.62437663295431,55.75718611896214],[37.623161,55.757271],[37.619617,55.759117],[37.620358,55.76012],[37.62001,55.761139],[37.622009,55.761963],[37.623009,55.762852],[37.625008,55.762959],[37.626011,55.763477],[37.62709,55.763039],[37.629005,55.763752],[37.629265,55.763374],[37.63121735611406,55.76071362864525],[37.6314479910968,55.760733569605556]]]}
